Company,Domain,Name,Job Title,LinkedIn Profile,AI Confidence,AI Reasoning
Snovasys Software Solutions Ltd,N/A,Sivakishore Nidamanuri,Human Resources Executive,https://in.linkedin.com/in/sivakishore-nidamanuri-5ba511206,Medium,"Sivakishore Nidamanuri is explicitly mentioned as a Human Resources Executive, which suggests a senior HR role. Although the title does not specify CHRO or Head of HR, it is the most relevant HR-related title among the search results. The snippet confirms his association with HR, but it does not explicitly confirm his current employment at Snovasys Software Solutions Ltd."
360logica Software Testing Services,N/A,Ekta Agarwal,Human Resource,https://in.linkedin.com/in/ekta-agarwal-072a6864,Medium,"Ekta Agarwal is the only person listed with a title directly related to Human Resources. Although her specific role is not detailed, she is the most likely candidate to hold a senior HR position at 360logica Software Testing Services based on the available information."
Brillanz Software Solutions LLP,N/A,Rutuja Deshmukh,HR | End to End Talent Acquisition,https://in.linkedin.com/in/rutuja-deshmukh-615734208,Medium,"Rutuja Deshmukh is the only person with a title related to HR and Talent Acquisition. Although the snippet does not explicitly mention Brillanz Software Solutions LLP, her role in 'End to End Talent Acquisition' suggests a senior HR position, making her the most likely candidate for a senior HR role at the company."
Sterling Software,N/A,Sara Enock,HR Business Partner,https://in.linkedin.com/in/sara-enock-89a528154,Medium,"Sara Enock is explicitly mentioned as an HR Business Partner at Sterling Software, which suggests a senior HR role. Although not the highest-ranking title like CHRO, it is the most relevant senior HR position mentioned in the search results for Sterling Software."
"Software Technology Parks of India, Thiruvananthapuram",N/A,Not Found,-,-,Low,AI Mismatch
Amrut Software,N/A,Jayashri Benjamin,Head - HR and Admin,https://in.linkedin.com/in/jayashri-benjamin-b6927a15,High,"Jayashri Benjamin is explicitly mentioned as the 'Head - HR and Admin' at Amrut, which indicates a senior HR role. The title suggests a leadership position within the HR department, aligning with the priority criteria."
EP Software Technologies Pvt Ltd,N/A,anand eptech,Senior HR Manager,https://in.linkedin.com/in/anand-eptech-347151a9,High,"Anand is listed as a Senior HR Manager at EP Software Technologies, which suggests a senior HR role. The title indicates a higher level of responsibility compared to other candidates listed, making him the most likely candidate for a senior HR position at the company."
Enhanced Software Solutions Pvt. Ltd.,N/A,Pradeep Bisht,Human Resources Manager,https://in.linkedin.com/in/pradeep-bisht-723855205,High,"Pradeep Bisht is explicitly mentioned as the 'Human Resources Manager' in the search results, which is a senior HR role. The title and snippet confirm his position at Enhanced Software Solutions Pvt. Ltd., making him the most likely candidate for a senior HR role based on the available information."
Ezulix Software Private Limited,N/A,Mamta Lohani,Human Resource Manager & Training,https://in.linkedin.com/in/mamta-lohani-19b4671a2,High,Mamta Lohani is explicitly mentioned as the Human Resource Manager at Ezulix Software Private Limited in the search results. This aligns with the search criteria for a senior HR role at the company.
FSL Software Technologies Ltd,N/A,Manisha Kandpal,HR MANAGER,https://in.linkedin.com/in/manisha-kandpal-4915b4235,High,"Manisha Kandpal is explicitly listed as an 'HR MANAGER' in the search results, which is a senior HR role. The title and snippet indicate she holds a managerial position in HR at FSL Software Technologies Ltd, making her the most likely candidate for a senior HR role based on the available information."
AEON Software,N/A,Sapna Sonawani,Likely Senior HR Role,https://in.linkedin.com/in/sapna-sonawani-9084031b,Medium,"The search result lists Sapna Sonawani with AEON Software, and the absence of a specific title suggests a potential senior HR role. The snippet does not provide explicit HR-related details, but the association with AEON Software makes it a plausible match."
Frontier Software,N/A,Cherry Koshy,HR Role at FRONTIER HR AND PAYROLL PVT LTD,https://in.linkedin.com/in/cherryckoshy,Medium,"Cherry Koshy is associated with 'FRONTIER HR AND PAYROLL PVT LTD', which suggests a connection to HR functions. However, the exact title is not specified, and it is unclear if this is directly linked to 'Frontier Software' or a related entity. No other search result clearly indicates a senior HR role at Frontier Software."
Tactive Software Systems Pvt Ltd,N/A,Not Found,-,-,Low,AI Mismatch
Micropro Software Solutions Limited,N/A,Amruta Kholkute,Human Resources,https://in.linkedin.com/in/amruta-kholkute-816950113,Medium,"Amruta Kholkute is the only person explicitly mentioned with a role in Human Resources at Micropro Software Solutions Limited. Although her exact title is not specified, her association with HR makes her the most likely candidate for a senior HR role among the search results provided."
PACT Software Services Pvt Ltd,N/A,Not Found,-,-,Low,AI Mismatch
SHARP Software Development India,N/A,Swetha Chandarana,Human Resources Manager,https://in.linkedin.com/in/swetha-chandarana-03668b19,High,"Swetha Chandarana is explicitly mentioned as the Human Resources Manager at SHARP Software Development India in the search results, which aligns with the senior HR role criteria. No other candidates have a specified HR title in the search results."
SP Software Pvt Ltd,N/A,Sindhu Priya,Talent Acquisition,https://in.linkedin.com/in/sindhu-priya-80b73b148,Medium,"Sindhu Priya is identified as working in Talent Acquisition at SP Software Pvt Ltd, which is a relevant HR role. Although the title does not specify a senior position like CHRO or HR Manager, the role of Talent Acquisition is directly related to HR functions. The snippet confirms her association with the company, and she has a significant number of followers, suggesting a level of influence or seniority."
XIPHIAS Software Technologies Pvt Ltd,N/A,Urmi Subarno,Executive- HR & Administration,https://in.linkedin.com/in/urmi-subarno-7628b57a,Medium,"Urmi Subarno is explicitly mentioned as holding an HR-related position at XIPHIAS Software Technologies Pvt Ltd. Although the title 'Executive- HR & Administration' suggests a role that may not be the most senior, it is the only direct HR-related role identified at the company in the search results. Other individuals either do not have a clear HR title or are not confirmed to be working at XIPHIAS."
Compassites Software Solutions,N/A,Mallikarjun Biradar,Sr. Talent Acquisition Consultant,https://in.linkedin.com/in/mallikarjun-biradar-388527148,Medium,"Mallikarjun Biradar is identified as a Sr. Talent Acquisition Consultant at Compassites Software Solutions, which suggests a senior role in HR. Although not explicitly a CHRO or HR Manager, the title indicates a significant position in the HR hierarchy. Other candidates either do not specify a connection to Compassites or have less senior titles."
Akshay Software Technologies Private Limited,N/A,Bhavana Thapa,Manager - HR Operations and Talent,https://in.linkedin.com/in/bhavana-thapa-769534172,High,"Bhavana Thapa is explicitly mentioned as a Manager in HR Operations and Talent, which aligns with the search for a senior HR role. No other search result indicates a higher HR position at Akshay Software Technologies Private Limited."
Capace Software Private Limited,N/A,Preeti Shakey,Senior Human Resources Manager,https://in.linkedin.com/in/preeti-shakey-b96aab1b8,High,"Preeti Shakey is identified as a Senior Human Resources Manager, which is the most senior HR role mentioned in the search results. The title suggests a leadership position within the HR department, and the snippet confirms her role in HR, making her the most likely candidate for a senior HR role at Capace Software Private Limited."
KARNEX Software Solutions Pvt Ltd,N/A,Shraddha Mote,HR at KARNEX SOFTWARE SOLUTIONS,https://in.linkedin.com/in/shraddha-mote-9a88192a5,Medium,"Shraddha Mote is explicitly mentioned as working in HR at KARNEX Software Solutions, which aligns with the search for a senior HR role at the company. However, her exact title is not specified, so the confidence is medium."
Gemini Software Solutions Pvt. Ltd.,N/A,Hari Sankar,HR Manager,https://in.linkedin.com/in/hari-sankar-36949293,High,"The title and snippet clearly indicate that Hari Sankar is the HR Manager at Gemini Software Solutions, which matches the search criteria for a senior HR role at the specified company."
TechChefs Software Pvt Ltd,N/A,Abdul Salam,HR at TechChefs Software Pvt Ltd,https://in.linkedin.com/in/abdul-salam-2057811b3,Medium,"Abdul Salam is explicitly mentioned as being part of the HR team at TechChefs Software Pvt Ltd. However, the title does not specify a senior HR role such as CHRO or HR Manager, which reduces the confidence level."
CSM Software,N/A,Munish Babu,CSM Software,https://in.linkedin.com/in/munish-babu-15392913,Medium,"Munish Babu is associated with CSM Software, as indicated in the search results. However, the title does not specify a senior HR role, which reduces confidence. No other candidates are directly linked to CSM Software with a clear HR title."
Triad Software Pvt. Ltd.,N/A,Kiran Kumar B,Triad Software Pvt. Ltd.,https://in.linkedin.com/in/kiran-kumar-b-b8358ba,Medium,"Kiran Kumar B is associated with Triad Software Pvt. Ltd. according to the snippet. However, the title does not specify a senior HR role, but given the context and lack of specific HR titles for others at Triad Software, Kiran Kumar B is the most likely candidate for a senior HR position at the company."
Mindmill Software Limited,N/A,Kamalakant Majhi,HR at Mindmill Software Limited,https://in.linkedin.com/in/kamalakant-majhi-b1b51623,Medium,"Kamalakant Majhi is explicitly mentioned as holding an HR role at Mindmill Software Limited. While the title does not specify a senior HR position like CHRO or HR Manager, he is the only person listed with a direct HR title at the company, making him the most likely candidate for a senior HR role based on the available information."
First Line Software,N/A,Lisa Chul,HR-manager at First Line Software,https://me.linkedin.com/in/lisachul-firstlinesoftware,High,"Lisa Chul is explicitly mentioned as an HR-manager at First Line Software in the search results, making her the most likely candidate holding a senior HR role at the company."
MARG Software Solutions,N/A,Deepali Srivastava,HR at MARG Software Solutions,https://in.linkedin.com/in/deepali-srivastava-b751a4aa,Medium,"Deepali Srivastava is explicitly mentioned as being part of the HR team at MARG Software Solutions. Although her exact title is not specified, she is the only person directly linked to HR at the company in the search results. The other potential candidate, Amira Husain, is identified as a CHRO but there is no direct mention of her association with MARG Software Solutions."
Zibtek,N/A,Gracy Joseph,Human Resources Executive,https://in.linkedin.com/in/gracy-joseph-3044261b1,Medium,"Gracy Joseph is explicitly mentioned as a Human Resources Executive at Zibtek, which suggests a senior HR role. However, the title 'Executive' could imply a range of seniority levels, hence the medium confidence."
RSG Software Services Pvt Ltd,N/A,Sonika Singh,Talent Acquisition Specialist,https://in.linkedin.com/in/sonika-singh-85903514,Low,"Sonika Singh is the only person listed with a role related to HR, specifically Talent Acquisition. However, the snippet does not confirm her employment at RSG Software Services Pvt Ltd, and her title does not indicate a senior HR position such as CHRO or HR Manager. Therefore, the confidence level is low."
Primus Software Corporation,N/A,Rachna Yadav,Human Resource Professional,https://in.linkedin.com/in/rachna-yadav-a26201237?trk=people-guest_people_search-card,Medium,"Rachna Yadav is explicitly mentioned as a Human Resource Professional, which aligns with the roles of interest. Although the snippet does not confirm her current employment at Primus Software Corporation, her title suggests she is likely involved in HR functions. The other search results do not provide any indication of HR roles."
Infotech Software Dealers Association,N/A,Sameena R,Infotech Software Dealers Association (ISODA),https://in.linkedin.com/in/sameena-r-3aa754a6,Medium,"Sameena R is the only person explicitly associated with Infotech Software Dealers Association in the search results. However, the title does not specify a senior HR role, leading to medium confidence."
VXL Software,N/A,Radha Pillai,Likely Senior HR Role,https://in.linkedin.com/in/radhapillai-naa923261,Medium,"Radha Pillai is the only person listed directly associated with VXL Software without a specified role. Given the task's prioritization of HR roles and the lack of specific HR titles in the search results, Radha Pillai is the most likely candidate to hold a senior HR position at VXL Software."
Raja Software Labs,N/A,Hrishikesh Deshpande,Raja Software Labs,https://in.linkedin.com/in/hrishikesh-deshpande-614a6a168,Medium,"Hrishikesh Deshpande is listed with a connection to Raja Software Labs, and while the title does not specify an HR role, the snippet indicates a potential senior position. No other entries explicitly mention HR roles, making Hrishikesh the most likely candidate based on available information."
JTek Software Solutions,N/A,Sahithi Totharamudi,Human Resource,https://in.linkedin.com/in/sahithi-totharamudi-92679a187,Medium,"Sahithi Totharamudi is the only person explicitly mentioned with a Human Resource title in the search results. Although the specific seniority level is not clear, the title suggests a role in HR, making her the most likely candidate for a senior HR position at JTek Software Solutions."
Lakeside Software,N/A,Wilson Bong,HR Manager,https://my.linkedin.com/in/wilson-bong-590183332,High,"The snippet explicitly states that Wilson Bong is the HR Manager at Lakeside Software, which is a senior HR role. No other search result mentions a senior HR position at Lakeside Software."
PEOCIT Software Solutions Private Limited,N/A,Amita Mishi,Head of HR,https://in.linkedin.com/in/amita-mishi-74933218b,Medium,"Amita Mishi is the only person listed with a title that suggests a senior HR role at PEOCIT Software Solutions Private Limited. The snippet does not explicitly mention her HR role, but given the task's prioritization criteria and the lack of other senior HR titles in the search results, she is the most likely candidate."
Avalon Software Services,N/A,Sapna Atmakur,HR Manager,https://www.linkedin.com/in/sapna-atmakur-8831b175,Medium,"Sapna Atmakur is listed as an HR Manager at Avalon Software Services, which is the most senior HR role identified in the search results. Although there is no mention of a CHRO or VP People, the title of HR Manager suggests a leadership position within the HR department."
PURSUIT SOFTWARE,N/A,Sangita D,Talent Acquisition at Pursuit Software,https://www.linkedin.com/in/sangita-d-09369b112,Medium,"Sangita D is explicitly mentioned as working in Talent Acquisition at Pursuit Software, which aligns with the search for a senior HR role. While the title does not specify a senior position like CHRO or HR Manager, the direct association with Pursuit Software and the focus on Talent Acquisition make her the most relevant candidate from the available options."
Envision Software Engineering Pvt Ltd,N/A,Sridhar D,HR Manager,https://in.linkedin.com/in/sridhar-hrmanager,High,"Sridhar D is explicitly listed as an HR Manager in the search results, which is a senior HR role. The title and snippet confirm his position, and the link leads to a LinkedIn profile that likely provides further verification of his employment at Envision Software Engineering Pvt Ltd."
Netripples Software Group,N/A,Not Found,-,-,Low,AI Mismatch
Art Technology and Software,N/A,Abina OG,HR Executive at Art Technologies and Group of ...,https://in.linkedin.com/in/abina-og-761076190,Medium,"Abina OG is explicitly mentioned as an HR Executive at Art Technologies and Group of Companies, which suggests a direct connection to the company. However, the title 'HR Executive' does not indicate a senior HR role such as CHRO or HR Manager, but it is the most relevant match from the available data."
C360 Software Inc,N/A,HARICHARANA BANDARU,HR Manager,https://in.linkedin.com/in/haricharana-bandaru-204b0b212,Medium,"HARICHARANA BANDARU is listed as an HR Manager, which is a senior HR role. Although the title does not specify C360 Software Inc, the absence of other senior HR roles directly linked to C360 Software Inc in the search results makes this the most likely candidate."
BatchMaster Software,N/A,Latika Rochlani,HR,https://in.linkedin.com/in/latika-rochlani-52053211,Medium,"Latika Rochlani is explicitly mentioned with an HR title, which suggests a role in human resources. However, the snippet does not specify her exact position or confirm her employment at BatchMaster Software, leading to a medium confidence level."
Oak Tree Software,N/A,Tanisha Verma,Team Lead Recruitment,https://in.linkedin.com/in/tanisha1497,Medium,"Tanisha Verma is identified as a 'Team Lead Recruitment', which suggests a senior HR role related to Talent Acquisition at Oak Tree Software. Although not explicitly titled as CHRO or HR Manager, her role as a Team Lead in Recruitment indicates a leadership position within the HR department."
Congruent Software Inc.,N/A,Jessica Tyler,HR Manager,https://www.linkedin.com/in/jessica-tyler-804a513,High,"Jessica Tyler is explicitly listed as the HR Manager at Congruent Software, Inc. in the search results, which directly matches the company name and the role criteria. No other candidate in the search results holds a more senior HR position at Congruent Software Inc."
Redian Software Global,N/A,Neha Panchal,Talent Acquisition at Redian Software,https://in.linkedin.com/in/neha-panchal-1a573b329,Medium,"Neha Panchal is explicitly mentioned as working in Talent Acquisition at Redian Software, which aligns with the search for a senior HR role. Although her title is not the highest priority (CHRO or VP), she is the only one directly associated with Redian Software in a relevant HR capacity."
Three M Software Pvt Ltd,N/A,Bhavika Bhosale,HR Manager | Talent Acquisition & Core,https://in.linkedin.com/in/bhavika-bhosale-864305136,High,"Bhavika Bhosale is listed as an HR Manager with responsibilities in Talent Acquisition, which suggests a senior HR role. The title and snippet indicate she is likely the most senior HR professional at Three M Software Pvt Ltd among the search results provided."
Nice Software Solutions Pvt. Ltd.,N/A,Broni D,Senior Executive Human Resources,https://in.linkedin.com/in/broni-d-081570213,Medium,"Broni D is explicitly mentioned as a Senior Executive Human Resources at Nice Software Solutions Pvt. Ltd. in both the title and snippet. While the title 'Senior Executive' suggests a significant role, it does not explicitly indicate a top-level position like CHRO or Head of HR. However, among the available options, Broni D is the most likely candidate to hold a senior HR role at the company."
TekIT Software Solutions Pvt. Ltd.,N/A,Anamika Khandkar,Human Resources Manager,https://in.linkedin.com/in/anamika-khandkar-537a84360,High,"Anamika Khandkar is explicitly listed as a Human Resources Manager at TekIT Software Solutions Pvt. Ltd. in both the title and snippet, indicating she holds a senior HR role at the company. No other candidates are mentioned with a higher HR title at TekIT in the search results."
Global Software Solutions Group,N/A,Meenachi G,Likely Senior HR Role,https://in.linkedin.com/in/meenachi-g-43677614a,Medium,"Meenachi G is associated with Global Software Solutions Group and is the first result in the search, suggesting a potentially senior role. However, the exact title is not specified, leading to medium confidence."
Pranathi Software Services Pvt. Ltd.,N/A,Aarti Dongre,Sr HR Manager,https://in.linkedin.com/in/aarti-dongre-26a51775,High,"Aarti Dongre is explicitly mentioned as the 'Sr HR Manager' at Pranathi Software Services, which is a senior HR role. No other search result indicates a higher HR position such as CHRO or VP People, making her the most likely candidate for a senior HR role at the company."
Embee Software,N/A,Nishat Anjum,Manager HR Partner-Talent Acquisition,https://in.linkedin.com/in/nishat-anjum-4b5769ab,Medium,"Nishat Anjum is identified as a Manager HR Partner-Talent Acquisition, which suggests a senior HR role. The title indicates a managerial position in HR, and the snippet confirms the association with Embee Software. While not the highest-ranking HR title, it is the most senior HR-related role explicitly linked to Embee Software in the search results."
Axiom Software Solutions Limited,N/A,Swapna Ganapavarapu,Human Resource Manager,https://in.linkedin.com/in/swapna-ganapavarapu-6a4535125,High,"Swapna Ganapavarapu is listed as a Human Resource Manager at Axiom Software Solutions Limited, which is the most senior HR role identified in the search results. The title 'Human Resource Manager' suggests a leadership position within the HR department, and the snippet confirms her association with the company."
"Josh Software, Inc.",N/A,Shambhavi Sharma,Chief Human Resources Officer,https://in.linkedin.com/in/shambhavi-sharma-b185691a,High,"Shambhavi Sharma is listed as the Chief Human Resources Officer, which is the highest-ranking HR position according to the prioritization criteria. Although the snippet does not explicitly mention Josh Software, the title suggests a senior HR role, making it highly likely she holds a senior HR position at the company or its parent company."
Zydni Software Solutions,N/A,Not Found,-,-,Low,AI Mismatch
ANR Software Pvt. Ltd.,N/A,Rekha Kumari,HR Manager at ANR Software Pvt. Ltd.,https://in.linkedin.com/in/rekha-kumari-753513193,High,"Rekha Kumari is explicitly listed as the HR Manager at ANR Software Pvt. Ltd., which is a senior HR role. The title directly matches the search criteria, and there is no indication of a more senior HR role such as CHRO or VP People in the provided search results."
Bhash Software Labs,N/A,Shruthi Suryakumar,HR Manager,https://in.linkedin.com/in/shruthi-suryakumar-7a99a376,High,"Shruthi Suryakumar is explicitly mentioned as the HR Manager at Bhash Software Labs in both the title and snippet, indicating a senior HR role at the company."
Nezuware Software Pvt. Ltd.,N/A,Hawazin Azeenath Nisha,Not specified in the snippet,https://in.linkedin.com/in/hawazin-azeenath-nisha,Medium,"Hawazin Azeenath Nisha is the only person listed with a direct association to Nezuware in the search results. However, the snippet does not specify their job title or role, making it difficult to ascertain their exact position within the company. Given the lack of specific HR-related titles in the search results, Hawazin is the most likely candidate based on the available information."
AiPlex Software Pvt Ltd,N/A,Chandana E,Hr admin,https://in.linkedin.com/in/chandana-e-1a0a65277,Medium,"Chandana E is the only person listed with an HR-related title at AiPlex Software Pvt Ltd. Although the title 'Hr admin' suggests a more junior position, no other candidates with a senior HR role are mentioned in the search results. Therefore, she is the most likely candidate based on the available information."
Concerto Software & Systems Pvt Ltd,N/A,Jitesh Nair,Not specified in the snippet,https://in.linkedin.com/in/jitesh-nair-7678a8106,Medium,"Jitesh Nair is the only person listed with a direct association to Concerto Software & Systems Pvt Ltd. However, the snippet does not specify his job title, making it unclear if he holds a senior HR role. Given the lack of specific HR-related information, the confidence level is medium."
iQuasar Software Solutions,N/A,Owais Banday,Sr. Team Lead HR,https://in.linkedin.com/in/owais-banday-007,High,"Owais Banday is explicitly mentioned as a 'Sr. Team Lead HR' at iQuasar Software Solutions, indicating a senior HR role. The title suggests a leadership position within the HR department, making him the most likely candidate for a senior HR role at the company among the search results."
Aurigo Software Technologies,N/A,Akhila Nishanth,Director - HR at Aurigo,https://in.linkedin.com/in/akhila-nishanth,High,"Akhila Nishanth is explicitly listed as the Director of HR at Aurigo, which is a senior HR role at the company. The title and snippet confirm her position at Aurigo Software Technologies, making her the most likely candidate for a senior HR role based on the provided hierarchy."
Survik Software Private Limited,N/A,Tanushree Samal,HR Consultant and Recruiter,https://in.linkedin.com/in/tanushree-samal-19074b256,Medium,"Tanushree Samal is explicitly mentioned as an HR Consultant and Recruiter at Survik Software Private Limited, which suggests a senior HR role. Although the title does not specify a leadership position like CHRO or HR Manager, the direct association with HR functions at the company makes her the most likely candidate among the search results."
Global Software Resources,N/A,Susann Griffith,HR at Global Software Resources,https://www.linkedin.com/in/susann-griffith-a5137056,Medium,"Susann Griffith is listed as 'HR at Global Software Resources' which suggests a senior HR role. Although the title is not specific, it implies a broader HR responsibility compared to others listed as 'Executive' or 'Sr. HR Executive - Talent Acquisition'."
